OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
199,0037-016,FOXWOOD DR,ALDER CI,GADWALL PL,Collector,0037-016 FOXWOOD DR From ALDER CI To GADWALL PL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,77,2,1998/08/10 04:00:00+00,TIMBERLAKE,District 10,F08,91111,0.0330556,174.53,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,66.4589729157019
200,0330-002,CLUB HOUSE RD S,DIXIE DR,CREECH LA,Local,0330-002 CLUB HOUSE RD S From DIXIE DR To CREECH LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,70,2,1998/11/03 05:00:00+00,KINGS ARMS,District 10,H09,95774,0.20709736,1093.47,2024/08/21 21:27:27+00,2025,0.5,2024/09/09 18:16:58+00,417.480968850412
201,0289-002,BROOKBRIDGE RD,RIVERBEND RD (NB),FOREST TL,Local,0289-002 BROOKBRIDGE RD From RIVERBEND RD (NB) To FOREST TL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,47,2,1998/12/31 05:00:00+00,PRINCESS ANNE PLAZA,District 10,G08,95174,0.18404827,971.77,2024/08/21 21:27:27+00,2025,0.44,2024/09/09 18:16:58+00,369.809669991678
202,3922-001,NORTHGATE DR,BOW CREEK BL,DEER PARK DR,Local,3922-001 NORTHGATE DR From BOW CREEK BL To DEER PARK DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,56,0,65,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,H08,22393,0.09522201,502.77,2024/08/21 21:27:27+00,2025,0.44,2024/09/09 18:16:58+00,191.206595099555
203,5596-002,WILDFLOWER CT,MERION CT,S CUL-DE-SAC,Local,5596-002 WILDFLOWER CT From MERION CT To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,46,0,67,2,1998/11/03 05:00:00+00,THE LAKES,District 10,G09,24451,0.0427657,225.8,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,86.1818691480987
204,5704-002,WOODBURNE DR,WOODBURNE CT,ASHAWAY RD,Local,5704-002 WOODBURNE DR From WOODBURNE CT To ASHAWAY RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,29,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G09,24594,0.05596663,295.5,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,112.412380908597
205,5704-010,WOODBURNE DR,MAXINE CT,BOYNTON CT,Local,5704-010 WOODBURNE DR From MAXINE CT To BOYNTON CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,72,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G09,24602,0.06517315,344.11,2024/08/21 21:27:27+00,2025,0.17,2024/09/09 18:16:58+00,131.30984296804
206,5704-004,WOODBURNE DR,TERRA FIRMA CT,MEADOWBURM CI,Local,5704-004 WOODBURNE DR From TERRA FIRMA CT To MEADOWBURM CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,58,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G08,24596,0.05131532,270.94,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,103.170198048904
207,3668-001,TERRA FIRMA CT,WOODBURNE DR,N CUL-DE-SAC,Local,3668-001 TERRA FIRMA CT From WOODBURNE DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,51,0,71,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G08,22019,0.02458454,129.81,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,49.4884526490776
208,2719-001,GROVE CT,FOXWOOD DR,W CUL-DE-SAC,Local,2719-001 GROVE CT From FOXWOOD DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,62,0,86,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F09,97673,0.22142929,1169.15,2024/08/21 21:27:27+00,2025,1.14,2024/09/09 18:16:58+00,445.029583963634
209,1421-001,BUCKEYE CT,FOXWOOD DR,W CUL-DE-SAC,Local,1421-001 BUCKEYE CT From FOXWOOD DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,60,0,70,2,1998/10/06 04:00:00+00,TIMBERLAKE,District 10,F08,18851,0.16921616,893.46,2024/08/21 21:27:27+00,2025,0.85,2024/09/09 18:16:58+00,340.178474046439
210,0037-013,FOXWOOD DR,WHITE BEAM CT,LOBLOLLY LA,Collector,0037-013 FOXWOOD DR From WHITE BEAM CT To LOBLOLLY LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,79,2,1998/08/10 04:00:00+00,TIMBERLAKE,District 10,F08,91108,0.11399063,601.87,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,229.823705467346
211,0015-013,BONNEY RD (WB),GUM AV S,CONSTITUTION DR (NB),Collector,0015-013 BONNEY RD (WB) From GUM AV S To CONSTITUTION DR (NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,26,15436,61,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,4074,0.1821715,961.87,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,366.126999547319
212,6045-003,BONNEY RD (EB),002500 FT,BENDIX RD,Collector,6045-003 BONNEY RD (EB) From 002500 FT To BENDIX RD,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,28,15436,51,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,96081,0.16995861,897.38,2024/08/21 21:27:27+00,2025,0.4,2024/09/09 18:16:58+00,341.678728338155
213,0015-002,BONNEY RD (WB),002500 FT,LYNN SHORES DR(NB),Collector,0015-002 BONNEY RD (WB) From 002500 FT To LYNN SHORES DR(NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,31,15436,56,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89700,0.15189427,802,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,305.104976581279
214,6045-013,BONNEY RD (EB),HAPPY ST,RODRIGUEZ DR,Collector,6045-013 BONNEY RD (EB) From HAPPY ST To RODRIGUEZ DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,29,15436,51,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89723,0.09536227,503.51,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,191.551850696119
215,6287-002,MARLIN BAY DR (EB),OCEAN TIDES DR,MARLIN BAY CT,Local,6287-002 MARLIN BAY DR (EB) From OCEAN TIDES DR To MARLIN BAY CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,21,0,77,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,724219,0.16121008,851.19,2024/08/21 21:27:27+00,2025,0.28,2024/09/09 18:16:58+00,324.307876702104
216,6097-015,WITCHDUCK RD N (NB),S CUL-DE-SAC,SULLIVAN BL (NB),Collector,6097-015 WITCHDUCK RD N (NB) From S CUL-DE-SAC To SULLIVAN BL (NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,40,10189,74,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E04,92642,0.07340988,387.6,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,147.884515561292
217,0524-003,MARLIN BAY DR (WB),WHISPERING SANDS LA,OCEAN TIDES DR,Local,0524-003 MARLIN BAY DR (WB) From WHISPERING SANDS LA To OCEAN TIDES DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,74,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,98502,0.05892312,311.11,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,118.52614969471
218,3973-001,OCEAN TIDES DR,MARLIN BAY DR (WB),CLIPPER BAY DR,Local,3973-001 OCEAN TIDES DR From MARLIN BAY DR (WB) To CLIPPER BAY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,19,0,81,2,2002/10/10 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,772488,0.06907821,364.73,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,139.298238106544
219,0101-003,PLAZA TR S (NB),BRENNEMAN TL,PRESTIGE WY,Arterial Major,0101-003 PLAZA TR S (NB) From BRENNEMAN TL To PRESTIGE WY,CITY MAINTAINED VDOT FUNDED,45,ASPHALT,38,23340,67,2,1999/04/17 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,F09,96121,0.3438599,1815.58,2024/08/21 21:27:27+00,2025,1.09,2024/09/09 18:16:58+00,692.61754338742
220,6045-016,BONNEY RD (EB),CHESTNUT CT,BUTTERNUT LA,Collector,6045-016 BONNEY RD (EB) From CHESTNUT CT To BUTTERNUT LA,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,22,15436,68,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89726,0.06426016,339.29,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,129.065745572557
221,6045-017,BONNEY RD (EB),BUTTERNUT LA,SPRUCE ST,Collector,6045-017 BONNEY RD (EB) From BUTTERNUT LA To SPRUCE ST,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,22,15436,48,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89727,0.06456969,340.93,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,129.687458684986
222,6045-018,BONNEY RD (EB),SPRUCE ST,PINE ST,Collector,6045-018 BONNEY RD (EB) From SPRUCE ST To PINE ST,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,23,15436,61,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89728,0.06586357,347.76,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,132.286187751632
223,0969-001,ASH AVE,SOUTHERN BL,THALIA STATION CI,Local,0969-001 ASH AVE From SOUTHERN BL To THALIA STATION CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,21,0,71,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89427,0.03024031,159.67,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,60.9843500788676
224,6045-009,BONNEY RD (EB),KENTUCKY AV S,THALIA TRACE DR,Collector,6045-009 BONNEY RD (EB) From KENTUCKY AV S To THALIA TRACE DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,23,15436,68,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89719,0.07443806,393.03,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,149.511579270577
225,6045-010,BONNEY RD (EB),THALIA TRACE DR,TRACE CT,Collector,6045-010 BONNEY RD (EB) From THALIA TRACE DR To TRACE CT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,28,15436,60,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89720,0.03726227,196.74,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,74.843524250599
226,6045-011,BONNEY RD (EB),TRACE CT,WILEY PL,Collector,6045-011 BONNEY RD (EB) From TRACE CT To WILEY PL,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,19,15436,75,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89721,0.02942515,155.36,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,59.1023759211929
227,6045-012,BONNEY RD (EB),WILEY PL,HAPPY ST,Collector,6045-012 BONNEY RD (EB) From WILEY PL To HAPPY ST,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,27,15436,50,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89722,0.04644057,245.21,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,93.2769855712008
228,6742-001,MAIN ST,CONSTITUTION DR (SB),TOWN CENTER DR,Local,6742-001 MAIN ST From CONSTITUTION DR (SB) To TOWN CENTER DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,52,0,91,2,2002/12/01 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,825145,0.09195474,485.52,2024/08/21 21:27:27+00,2025,0.4,2024/09/09 18:16:58+00,184.697846099536
229,1845-001A,CONSTITUTION DR (SB),VIRGINIA BEACH BL (EB),MAIN ST,Collector,1845-001A CONSTITUTION DR (SB) From VIRGINIA BEACH BL (EB) To MAIN ST,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,32,7676,73,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1267125,0.10331688,545.51,2024/08/21 21:27:27+00,2025,0.28,2024/09/09 18:16:58+00,208.414890093204
230,0422-001,GRAYSON RD (NB),BONNEY RD (WB),CORPORATE WOODS DR (NB),Local,0422-001 GRAYSON RD (NB) From BONNEY RD (WB) To CORPORATE WOODS DR (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,5389,37,2,1998/12/22 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,D07,93429,0.16450187,868.57,2024/08/21 21:27:27+00,2025,0.37,2024/09/09 18:16:58+00,331.775878918364
231,0422-003,GRAYSON RD (NB),CORPORATE WOODS DR (NB),ROUSE DR,Local,0422-003 GRAYSON RD (NB) From CORPORATE WOODS DR (NB) To ROUSE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,5389,61,2,1998/12/22 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,D07,93431,0.24088992,1271.9,2024/08/21 21:27:27+00,2025,0.74,2024/09/09 18:16:58+00,485.221520093965
232,2797-001,HASTINGS AR E,LAKE EDWARD DR (WB),WHITE HALL LA,Local,2797-001 HASTINGS AR E From LAKE EDWARD DR (WB) To WHITE HALL LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,74,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,38840,0.15046236,794.44,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,303.064975245078
233,2798-003,HASTINGS AR W,HASTINGS CT W,RED HORSE LA,Local,2798-003 HASTINGS AR W From HASTINGS CT W To RED HORSE LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,73,2,1999/01/05 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26070,0.18971355,1001.69,2024/08/21 21:27:27+00,2025,0.49,2024/09/09 18:16:58+00,381.88341141983
234,5546-001,WHITE HALL LA,LAKE EDWARD DR (EB),HASTINGS AR E,Local,5546-001 WHITE HALL LA From LAKE EDWARD DR (EB) To HASTINGS AR E,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,75,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,24393,0.06921217,365.44,2024/08/21 21:27:27+00,2025,0.17,2024/09/09 18:16:58+00,139.59757947713
235,4185-001,PICKERING ST,LAKE EDWARD DR (WB),REDKIRK LA,Local,4185-001 PICKERING ST From LAKE EDWARD DR (WB) To REDKIRK LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,70,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,22762,0.05124312,270.56,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,102.957535302243
236,2798-004,HASTINGS AR W,RED HORSE LA,LAKE EDWARD DR (WB),Local,2798-004 HASTINGS AR W From RED HORSE LA To LAKE EDWARD DR (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,73,2,1999/01/05 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26071,0.05962882,314.84,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,120.267261348188
237,2798-002,HASTINGS AR W,RED HORSE LA,HASTINGS CT W,Local,2798-002 HASTINGS AR W From RED HORSE LA To HASTINGS CT W,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,57,2,1999/01/05 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26069,0.06580976,347.48,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,132.364341657869
238,2798-001,HASTINGS AR W,LAKE EDWARD DR (WB),RED HORSE LA,Local,2798-001 HASTINGS AR W From LAKE EDWARD DR (WB) To RED HORSE LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,55,2,1999/01/05 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26068,0.05209657,275.07,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,104.742558108703
239,2797-002,HASTINGS AR E,WHITE HALL LA,LAKE EDWARD DR (WB),Local,2797-002 HASTINGS AR E From WHITE HALL LA To LAKE EDWARD DR (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,73,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,38841,0.14382176,759.38,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,289.140595355257
240,4430-001,REDKIRK LA,E CUL-DE-SAC,LAYTON ST,Local,4430-001 REDKIRK LA From E CUL-DE-SAC To LAYTON ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,46,0,70,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26692,0.05036985,265.95,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,101.447141155524
241,3341-001,LAYTON ST,REDKIRK LA,S DEAD END,Local,3341-001 LAYTON ST From REDKIRK LA To S DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,67,2,1999/01/05 05:00:00+00,LAKE EDWARD WEST,District 4,C06,21552,0.04257692,224.81,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,85.7186852027534
242,4430-002,REDKIRK LA,LAYTON ST,PICKERING ST,Local,4430-002 REDKIRK LA From LAYTON ST To PICKERING ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,66,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26693,0.04392602,231.93,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,88.5853498439044
243,4185-002,PICKERING ST,REDKIRK LA,S CUL-DE-SAC,Local,4185-002 PICKERING ST From REDKIRK LA To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,69,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,22763,0.08509428,449.3,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,171.16673974799
244,4418-001,RED HORSE LA,HASTINGS AR W,HASTINGS AR W,Local,4418-001 RED HORSE LA From HASTINGS AR W To HASTINGS AR W,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,71,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,26690,0.11328392,598.14,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,228.046850087791
245,2799-001,HASTINGS CT W,HASTINGS AR W,W CUL-DE-SAC,Local,2799-001 HASTINGS CT W From HASTINGS AR W To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,86,0,70,2,1998/12/31 05:00:00+00,LAKE EDWARD WEST,District 4,C06,20777,0.02557462,135.03,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,51.4079704001238
246,6097-022,WITCHDUCK RD N (NB),BLACKFRIARS DR,INDEPENDENCE BL (SB),Collector,6097-022 WITCHDUCK RD N (NB) From BLACKFRIARS DR To INDEPENDENCE BL (SB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,54,10189,66,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92656,0.06799333,359,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,136.655511316835
247,0397-006,FERRY PLANTATION RD,WESTGROVE CT,HAYGOOD RD (WB),Collector,0397-006 FERRY PLANTATION RD From WESTGROVE CT To HAYGOOD RD (WB),CITY MAINTAINED VDOT FUNDED,30,ASPHALT,35,4925,52,2,1998/12/08 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,97511,0.10186927,537.87,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,205.49254646551
248,6097-016,WITCHDUCK RD N (NB),SULLIVAN BL (NB),ARCHWAY CT,Collector,6097-016 WITCHDUCK RD N (NB) From SULLIVAN BL (NB) To ARCHWAY CT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,26,10189,73,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92649,0.04371012,230.79,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,88.0430586049803
249,6097-017,WITCHDUCK RD N (NB),ARCHWAY CT,GABLE WY,Collector,6097-017 WITCHDUCK RD N (NB) From ARCHWAY CT To GABLE WY,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,29,10189,51,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92651,0.06751195,356.46,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,135.971511479795
250,6097-019,WITCHDUCK RD N (NB),CROSSING CT,CROSSING CT,Collector,6097-019 WITCHDUCK RD N (NB) From CROSSING CT To CROSSING CT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,44,10189,23,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92653,0.04864587,256.85,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,97.9595118864932
251,6097-020,WITCHDUCK RD N (NB),CROSSING CT,FERRY PLANTATION RD,Collector,6097-020 WITCHDUCK RD N (NB) From CROSSING CT To FERRY PLANTATION RD,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,52,10189,65,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92654,0.05890194,311,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,118.594966109232
252,0397-001,FERRY PLANTATION RD,WITCHDUCK RD N (NB),WHISTLER LA,Collector,0397-001 FERRY PLANTATION RD From WITCHDUCK RD N (NB) To WHISTLER LA,CITY MAINTAINED VDOT FUNDED,30,ASPHALT,46,4925,55,2,1998/12/08 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,89646,0.11815606,623.86,2024/08/21 21:27:27+00,2025,0.45,2024/09/09 18:16:58+00,238.212147736194
253,6097-021,WITCHDUCK RD N (NB),FERRY PLANTATION RD,BLACKFRIARS DR,Collector,6097-021 WITCHDUCK RD N (NB) From FERRY PLANTATION RD To BLACKFRIARS DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,54,10189,62,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92655,0.08717504,460.28,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,175.206285089605
254,0397-002,FERRY PLANTATION RD,WHISTLER LA,OVERMAN AV,Collector,0397-002 FERRY PLANTATION RD From WHISTLER LA To OVERMAN AV,CITY MAINTAINED VDOT FUNDED,30,ASPHALT,39,4925,42,2,1998/12/08 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,89647,0.16469684,869.6,2024/08/21 21:27:27+00,2025,0.54,2024/09/09 18:16:58+00,332.144355571072
255,0397-005,FERRY PLANTATION RD,HONEYGROVE RD E,WESTGROVE CT,Collector,0397-005 FERRY PLANTATION RD From HONEYGROVE RD E To WESTGROVE CT,CITY MAINTAINED VDOT FUNDED,30,ASPHALT,40,4925,40,2,1998/12/08 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,89650,0.14317961,755.99,2024/08/21 21:27:27+00,2025,0.48,2024/09/09 18:16:58+00,288.820339073445
256,6097-018,WITCHDUCK RD N (NB),GABLE WY,CROSSING CT,Collector,6097-018 WITCHDUCK RD N (NB) From GABLE WY To CROSSING CT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,34,10189,32,2,1998/11/10 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,92652,0.04661823,246.14,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,93.9025802336123
257,0397-003,FERRY PLANTATION RD,OVERMAN AV,ALBERT CT,Collector,0397-003 FERRY PLANTATION RD From OVERMAN AV To ALBERT CT,CITY MAINTAINED VDOT FUNDED,30,ASPHALT,22,4925,45,2,1998/12/08 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,89648,0.00966298,51.02,2024/08/21 21:27:27+00,2025,0.02,2024/09/09 18:16:58+00,19.4906263239538
258,0397-004,FERRY PLANTATION RD,ALBERT CT,HONEYGROVE RD E,Collector,0397-004 FERRY PLANTATION RD From ALBERT CT To HONEYGROVE RD E,CITY MAINTAINED VDOT FUNDED,30,ASPHALT,38,4925,31,2,1998/12/08 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,E05,89649,0.08726272,460.75,2024/08/21 21:27:27+00,2025,0.28,2024/09/09 18:16:58+00,176.023095668495
259,0687-001,STEPHENS RD,WOODHOUSE RD S,ASHLEY DR,Local,0687-001 STEPHENS RD From WOODHOUSE RD S To ASHLEY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,65,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,17669,0.06991909,369.17,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,141.105566000955
260,0687-002,STEPHENS RD,ASHLEY DR,MARINER CT,Local,0687-002 STEPHENS RD From ASHLEY DR To MARINER CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,68,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,17670,0.15025794,793.36,2024/08/21 21:27:27+00,2025,0.38,2024/09/09 18:16:58+00,303.228001451682
261,3596-001,MARINER CT,STEPHENS RD,W CUL-DE-SAC,Local,3596-001 MARINER CT From STEPHENS RD To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,44,0,62,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,27488,0.03279751,173.17,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,65.9556842707335
262,0687-003,STEPHENS RD,MARINER CT,COOPER RD,Local,0687-003 STEPHENS RD From MARINER CT To COOPER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,33,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,17671,0.03749352,197.97,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,75.5736720241292
263,0687-004,STEPHENS RD,COOPER RD,BAYCLIFF DR,Local,0687-004 STEPHENS RD From COOPER RD To BAYCLIFF DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,76,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,17672,0.21894912,1156.05,2024/08/21 21:27:27+00,2025,0.46,2024/09/09 18:16:58+00,441.899852370707
